Marca temporal,Fecha de Nacimiento,Situación laboral en la qué se encuentra,Horas que le dedica a dicho trabajo por día. (0 si no es empleado) Coloque punto (.) para separar (Ejemplo: 1.5),Días laborales en los que tiene qué desempeñar las horas de trabajo. (0 si no es empleado) ,Tiempo en minutos para llegar a su trabajo en el mejor de los casos (tráfico moderado) Coloque punto (.) para separar (Ejemplo: 30.5)  (0 si no es empleado) ,Distrito de residencia,Distrito donde labura,Nivel de estudios TERMINADOS,Creencia religiosa,¿A cuántos de los siguientes dispositivos inteligentes cuenta con acceso?,¿Tiene conocimiento sobre el concepto de Inteligencia Artificial?,¿Las personas con las que se relaciona (Amigos/Familiares) saben acerca de las Inteligencias Artificiales?,¿Es consciente sobre las capacidades de una Inteligencia Artificial frente al propio ser humano?,¿Conoce alguna Inteligencia Artificial o ha escuchado hablar de alguna?,¿Ha usado alguna Inteligencia Artificial para realizar alguna de estas tareas?,¿Divulgó o divulgaría el tema sobre la Inteligencia Artificial?,¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como Call Center?,¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como contabilidad y cálculo de impuestos?,"¿Cree qué las Inteligencias Artificiales podrían reemplazar a los trabajadores de empleos como Marketing, estudio de mercado y publicidad?",¿Cree que la automatización (Inteligencias Artificiales a cargo de trabajos humanos) será un problema para los trabajadores a finales de esta década?,Cual es su opinión acerca del avance de estas tecnologías.
25/04/2023 23:04:09,11/06/2002,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Estudiante ,Católico,Laptop O Computadora,No del todo,No,No del todo,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Programar",Si,No,No,Sí,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
27/04/2023 0:43:24,14/02/2003,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Pregrado (Bachiller),Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
27/04/2023 0:59:04,2/10/1994,Empleado de medio tiempo,,,,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",Secundaria completa,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea",Si,Sí,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
30/04/2023 18:00:13,19/07/2002,Desempleado,0,0,0,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",,Secundaria completa,NA,"Laptop O Computadora, Tableta, Smartphone",Sí,No,No del todo,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
30/04/2023 18:21:05,4/08/2004,Empleado en múltiples empleos,,,,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Secundaria completa,Agnóstico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,Sí,Sí,Sí,Sí,Completamente de acuerdo con respecto a la automatización.
30/04/2023 23:48:55,18/04/2005,Desempleado,0,0,0,"Lima Sur (San Juan de Miraflores, Villa María del Triunfo, Villa el Salvador, Pachacamac, Lurín, Punta Negra, Punta Hermosa, San Bartolo)",,Secundaria completa,Adventista ,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,No del todo,Sí,Organizar horarios,Si,Sí,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
1/05/2023 0:50:00,14/02/2005,Empleado de medio tiempo,,,,"Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)","Lima Norte (Ancón, Carabayllo, Santa Rosa, Puente Piedra, Comas, Los Olivos, Independencia, San Martín de Porres)",Secundaria completa,Agnóstico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Programar",Si,Sí,No,No,No,Completamente de acuerdo con respecto a la automatización.
1/05/2023 4:34:15,2/10/1994,Empleado de medio tiempo,,,,"Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)","Lima Este (Chosica, San Juan de Lurigancho, Ate, Santa Anita, Cieneguilla, El Agustino)",Secundaria completa,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,Sí,Sí,No,Sí,"Parcialmente de acuerdo, no todos los empleos deberían ser automatizados."
1/05/2023 9:26:02,14/02/2003,Desempleado,0,0,0,"Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)","Lima Oeste (Rímac, Cercado de Lima, Breña, Pueblo Libre, San Luis, La Victoria, Jesus María, Magdalena, Lince, San Isidro, San Borja, Santiago de Surco, San Miguel, Surquillo, Miraflores, Barranco, Chorrillos)",Pregrado (Bachiller),Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,Sí,Sí,Sí,Sí,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
1/05/2023 10:24:52,15/05/2002,Desempleado,0,0,0,,,Secundaria completa,Católico,,Sí,Tal vez,No del todo,No del todo,"Armar presentaciones, Consultar definiciones, Programar",Si,Sí,Sí,Sí,No,"Parcialmente de acuerdo, no todos los empleos pueden ser automatizados."
